0 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: -\frac{1}{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/216.json
12 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \begin{pmatrix} -1 \\ -8 \\ 2 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/844.json
13 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \pi | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1199.json
14 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: \frac{\pi}{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/589.json
15 TYPE: Precalculus | LEVEL: 1 | OUTPUT: \frac{\pi}{3} | ANSWER: \frac{1}{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1193.json
16 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: 160 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/168.json
17 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: \frac{2 \sqrt{149}}{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/396.json
18 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: \begin{pmatrix} 2 \\ -1 \\ -5 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/850.json
19 TYPE: Precalculus | LEVEL: 3 | OUTPUT: 6 | ANSWER: 14 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/506.json
20 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 60^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/249.json
21 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: -\frac{17}{19} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/873.json
22 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \frac{21}{20} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/366.json
23 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: (3,2,4) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1019.json
24 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 22 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/513.json
25 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: 8 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/109.json
26 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 1 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/406.json
27 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \begin{pmatrix} 0 & 1 \\ 1 & 0 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/945.json
28 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \frac{3}{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1147.json
29 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \frac{1}{99} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1097.json
30 TYPE: Precalculus | LEVEL: 2 | OUTPUT: 3 | ANSWER: 0 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1302.json
31 TYPE: Precalculus | LEVEL: 5 | OUTPUT: 9 | ANSWER: \frac{25 \sqrt{10}}{4} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1134.json
32 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: y = 3x^2 - 34x + 88 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1055.json
33 TYPE: Precalculus | LEVEL: 2 | OUTPUT: \frac{1}{5} | ANSWER: 2 - \sqrt{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/332.json
34 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \frac{56}{5} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/553.json
35 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \frac{7}{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1186.json
36 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \frac{2}{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/700.json
37 TYPE: Precalculus | LEVEL: 5 | OUTPUT: \frac{1}{2} | ANSWER: 7 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1172.json
38 TYPE: Precalculus | LEVEL: 2 | OUTPUT: 2 | ANSWER: 1 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/652.json
39 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \begin{pmatrix} -2 \\ -2 \\ 1 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/55.json
40 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \left( -\infty, -\frac{6}{7} \right) \cup \left( -\frac{6}{7}, \infty \right) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/316.json
41 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: 1 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/439.json
42 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \left( 8 \sqrt{2}, \frac{\pi}{4}, \frac{\pi}{6} \right) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/63.json
43 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \text{(C)} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/195.json
44 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: 0 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/126.json
45 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 1 - 12i | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1291.json
46 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: 31 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/219.json
47 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: -12 + 15i | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/196.json
48 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \frac{3}{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/827.json
49 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: \frac{3 \pi}{4} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/930.json
50 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: 0 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/833.json
51 TYPE: Precalculus | LEVEL: 1 | OUTPUT: -2 | ANSWER: -41 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1289.json
52 TYPE: Precalculus | LEVEL: 5 | OUTPUT: \frac{-7}{25} | ANSWER: \frac{4}{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1136.json
53 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: \left( \frac{11}{2}, -1, 1 \right) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/183.json
54 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 16 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1191.json
55 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: -1 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/31.json
56 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \frac{1}{9} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1298.json
57 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 8 \pi | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/703.json
58 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \begin{pmatrix} 5/2 \\ 0 \\ 5/2 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/752.json
59 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 116 - 75i | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1119.json
60 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: 9 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/186.json
61 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \frac{3}{5} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/184.json
62 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: y = -2x | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/356.json
63 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: \begin{pmatrix} 1 \\ 4 \\ 3 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/101.json
64 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 5 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/98.json
65 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: \begin{pmatrix} -4\\-3 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/274.json
66 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: 0, \pi, 2 \pi | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/545.json
67 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \begin{pmatrix} 6 \\ -15 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/128.json
68 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 27^\circ, 63^\circ, 99^\circ, 135^\circ, 171^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1129.json
69 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 105^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1233.json
70 TYPE: Precalculus | LEVEL: 2 | OUTPUT: -\frac{3}{5} | ANSWER: 4 \sqrt{3} + 2i | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/711.json
71 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: -1,0,1 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/458.json
72 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: 16 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1064.json
73 TYPE: Precalculus | LEVEL: 1 | OUTPUT: -2 | ANSWER: 3 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/300.json
74 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: -\frac{\pi}{6} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1105.json
75 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \left( \frac{3}{2}, -13 \right) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/541.json
76 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \left( 6, -\frac{3}{8} \right) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/672.json
77 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 100^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/577.json
78 TYPE: Precalculus | LEVEL: 5 | OUTPUT: 25 | ANSWER: \frac{5 \sqrt{6}}{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/857.json
79 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 4 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/597.json
80 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \frac{7}{8} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/761.json
81 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: 4 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/565.json
82 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \left( -\frac{2}{7}, -\frac{34}{7} \right) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/842.json
83 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: 3 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/895.json
84 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \begin{pmatrix} 0 & -15 \\ -2 & -4 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1275.json
85 TYPE: Precalculus | LEVEL: 3 | OUTPUT: \frac{1}{\sqrt{35}} | ANSWER: -\frac{9}{5} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/735.json
86 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: 1 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1252.json
87 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: -\frac{\sqrt{3}}{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/587.json
88 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \frac{1}{9} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/642.json
89 TYPE: Precalculus | LEVEL: 4 | OUTPUT: \frac{-4}{2} | ANSWER: 90^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/927.json
90 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: -2 + 7i | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/779.json
91 TYPE: Precalculus | LEVEL: 5 | OUTPUT: -\frac{1}{16} | ANSWER: 4 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/820.json
92 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 0 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/843.json
93 TYPE: Precalculus | LEVEL: 5 | OUTPUT: \frac{1}{2} | ANSWER: \frac{4036082}{4036081} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/90.json
94 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \left( -\frac{1}{4}, -2 \right) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/5.json
95 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 15 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/760.json
96 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 2 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/923.json
97 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 5 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1038.json
98 TYPE: Precalculus | LEVEL: 3 | OUTPUT: 6 | ANSWER: 9 \pi | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1121.json
99 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: \frac{1}{5} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1273.json
100 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: \sqrt{66} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/902.json
101 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \begin{pmatrix} -1 & 0 \\ 0 & -1 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/920.json
102 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: 70,110 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/528.json
103 TYPE: Precalculus | LEVEL: 1 | OUTPUT: 5 | ANSWER: 3 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/433.json
104 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: 0 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/24.json
105 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \begin{pmatrix} 2 & -3 \\ 0 & 3 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1260.json
106 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \frac{\pi}{4}, \frac{9 \pi}{4} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1174.json
107 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \frac{\sqrt{2}}{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1283.json
108 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \begin{pmatrix} 48/65 \\ 6/65 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1046.json
109 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 4 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/751.json
110 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: 10x - 4y - 5z - 20 = 0 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/747.json
111 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \frac{8}{15} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1082.json
112 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: -\frac{7}{17} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1181.json
113 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: \frac{24}{25} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/855.json
114 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \begin{pmatrix} 0 & 0 \\ 0 & 1 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1218.json
115 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \frac{\sqrt{3}}{4} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/382.json
116 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 4 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/803.json
117 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: (4,5) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/369.json
118 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 11 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1098.json
119 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: -1 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/878.json
120 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 159 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/998.json
121 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \begin{pmatrix} 2 & 0 \\ -3 & 5 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1158.json
122 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 12 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/594.json
123 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: \begin{pmatrix} -6 \\ 6 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/440.json
124 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: -2 + \sqrt{3} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/815.json
125 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: 251 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/588.json
126 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \begin{pmatrix} 3 & 6 \\ 2 & 7 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1294.json
127 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 11 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1201.json
128 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: \begin{pmatrix} 3 \\ 3 \\ -3 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/357.json
129 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \begin{pmatrix} 2/5 \\ -1/5 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/763.json
130 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 900 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/661.json
131 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: (-11,-10,-7) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/901.json
132 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \frac{8}{21} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/601.json
133 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: 2 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/662.json
134 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 3 \pm 2 \sqrt{2} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/768.json
135 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \frac{3 \sqrt{5}}{4} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/362.json
136 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: -12 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/991.json
137 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: -8 + 2i | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/505.json
138 TYPE: Precalculus | LEVEL: 2 | OUTPUT: \frac{7}{2} | ANSWER: -\frac{7}{24} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/540.json
139 TYPE: Precalculus | LEVEL: 2 | OUTPUT: 3 | ANSWER: \left( 3, \frac{\pi}{2} \right) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/807.json
140 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: 100 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/151.json
141 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: (3,-3,1) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/964.json
142 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: \begin{pmatrix} 11 \\ -13 \\ -1 \end{pmatrix} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/840.json
143 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: (2,-1,2) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1024.json
144 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \frac{1}{\sqrt{3}} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/904.json
145 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: -\frac{\pi}{4} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/24169.json
146 TYPE: Precalculus | LEVEL: 2 | OUTPUT: None | ANSWER: \text{(E)} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/1145.json
147 TYPE: Precalculus | LEVEL: 3 | OUTPUT: None | ANSWER: 55^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/801.json
148 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: 8 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/585.json
149 TYPE: Precalculus | LEVEL: 2 | OUTPUT: 2.5^\circ | ANSWER: \sqrt{2} - 1 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/515.json
150 TYPE: Precalculus | LEVEL: 4 | OUTPUT: None | ANSWER: \frac{1}{\sqrt{10}} | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/804.json
151 TYPE: Precalculus | LEVEL: 5 | OUTPUT: \frac{1}{ab} | ANSWER: \frac{3}{2} + \frac{3}{2} i | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/27.json
152 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 43 | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/551.json
153 TYPE: Precalculus | LEVEL: 5 | OUTPUT: None | ANSWER: 840^\circ | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/812.json
154 TYPE: Precalculus | LEVEL: 1 | OUTPUT: None | ANSWER: (5 \sqrt{2}, 5 \sqrt{2}) | FNAME: /home/besperk/Code/MATH-Data/MATH/test/precalculus/204.json
